,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb performanceMetrics.js:100:15
,Rust,"Firefox",667.00,63,62.48,64.00,44958,16.00,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,62.61,64.00,45021,16.00,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,62.49,64.00,45084,16.00,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,62,61.77,64.00,45146,16.13,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,62.81,64.00,45209,16.02,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,62.33,64.00,45272,16.00,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,62.66,64.00,45335,16.02,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,61.85,64.00,45398,16.08,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,62.08,64.00,45461,16.10,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,62,62.48,64.00,45523,16.13,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,62,61.69,64.00,45585,16.13,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,62,62.18,64.00,45647,16.16,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,62,61.94,64.00,45709,16.27,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,62,59.71,64.00,45771,16.39,15.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,60.80,64.00,45832,16.46,15.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,60.91,64.00,45893,16.48,15.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,60.58,64.00,45954,16.51,15.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,61.22,64.00,46015,16.41,15.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,60.65,64.00,46076,16.44,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,60.41,64.00,46137,16.54,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,59.98,64.00,46198,16.59,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,60.15,64.00,46259,16.64,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,60.06,64.00,46320,16.61,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,60.11,64.00,46380,16.67,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,61,59.82,64.00,46441,16.64,16.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.65,64.00,46501,16.67,16.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,60.16,64.00,46561,16.73,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.96,64.00,46621,16.70,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.90,64.00,46681,16.68,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.88,64.00,46741,16.72,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,60.17,64.00,46801,16.77,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.43,64.00,46861,16.77,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,60.05,64.00,46921,16.73,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.58,64.00,46981,16.80,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.41,64.00,47041,16.80,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.14,64.00,47101,16.82,16.00,18.00, performanceMetrics.js:106:13
