 ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,Rust,"Chromium",667.30,166,157.06,64.00,19401,6.06,5.70,8.70,47.49
 ,Rust,"Chromium",667.30,163,164.44,64.00,19564,6.14,5.70,9.70,48.36
 ,Rust,"Chromium",667.30,167,165.72,64.00,19730,6.01,5.70,6.70,48.55
 ,Rust,"Chromium",667.30,164,157.54,64.00,19895,6.11,5.80,7.70,48.75
 ,Rust,"Chromium",667.30,163,163.71,64.00,20059,6.17,5.80,6.80,48.94
 ,Rust,"Chromium",667.30,162,161.10,64.00,20220,6.19,5.90,7.80,55.39
 ,Rust,"Chromium",667.30,158,159.25,64.00,20378,6.33,6.00,10.10,56.23
 ,Rust,"Chromium",667.30,160,160.09,64.00,20538,6.26,6.00,6.60,56.42
 ,Rust,"Chromium",667.30,159,158.30,64.00,20696,6.31,6.00,6.90,56.61
 ,Rust,"Chromium",667.30,158,155.65,64.00,20856,6.37,6.10,7.90,56.80
 ,Rust,"Chromium",667.30,152,154.09,64.00,21008,6.59,6.10,10.20,56.31
 ,Rust,"Chromium",667.30,154,155.84,64.00,21162,6.50,6.10,7.60,56.49
 ,Rust,"Chromium",667.30,152,152.66,64.00,21313,6.61,6.20,9.60,56.67
 ,Rust,"Chromium",667.30,153,153.14,64.00,21467,6.57,6.20,7.50,56.86
 ,Rust,"Chromium",667.30,151,150.64,64.00,21618,6.64,6.30,8.60,56.23
 ,Rust,"Chromium",667.30,152,152.20,64.00,21770,6.59,6.30,7.00,56.41
 ,Rust,"Chromium",667.30,152,151.05,64.00,21921,6.61,6.30,7.00,56.59
 ,Rust,"Chromium",667.30,151,149.98,64.00,22072,6.62,6.30,7.10,56.77
 ,Rust,"Chromium",667.30,150,149.03,64.00,22221,6.70,6.40,7.20,56.95
 ,Rust,"Chromium",667.30,148,147.99,64.00,22371,6.78,6.40,8.00,56.30
 ,Rust,"Chromium",667.30,148,148.04,64.00,22519,6.78,6.50,7.10,56.48
 ,Rust,"Chromium",667.30,147,146.31,64.00,22666,6.81,6.50,7.20,56.65
 ,Rust,"Chromium",667.30,145,145.18,64.00,22810,6.93,6.60,10.60,58.57
 ,Rust,"Chromium",667.30,143,145.51,64.00,22953,7.00,6.60,9.80,58.74
 ,Rust,"Chromium",667.30,142,142.00,64.00,23096,7.09,6.70,11.60,58.07
 ,Rust,"Chromium",667.30,142,140.92,64.00,23238,7.05,6.70,8.60,58.24
 ,Rust,"Chromium",667.30,142,140.34,64.00,23379,7.07,6.80,7.50,58.41
 ,Rust,"Chromium",667.30,140,142.34,64.00,23519,7.17,6.70,10.70,58.58
 ,Rust,"Chromium",667.30,138,138.82,64.00,23658,7.28,6.80,8.80,58.74
 ,Rust,"Chromium",667.30,140,138.87,64.00,23798,7.19,6.90,7.70,58.00
 ,Rust,"Chromium",667.30,139,137.99,64.00,23936,7.23,6.90,7.60,58.17
 ,Rust,"Chromium",667.30,137,136.06,64.00,24073,7.30,7.00,8.10,58.33
 ,Rust,"Chromium",667.30,138,137.23,64.00,24212,7.29,6.90,7.70,58.49
 ,Rust,"Chromium",667.30,135,135.27,64.00,24347,7.42,7.00,9.70,58.65
 ,Rust,"Chromium",667.30,136,130.18,64.00,24482,7.41,7.00,8.80,58.01
 ,Rust,"Chromium",667.30,131,133.06,64.00,24612,7.66,7.10,10.20,58.16
 ,Rust,"Chromium",667.30,134,133.20,64.00,24748,7.49,7.10,9.80,58.32
 ,Rust,"Chromium",667.30,134,132.33,64.00,24881,7.52,7.10,8.80,58.48
 ,Rust,"Chromium",667.30,133,132.48,64.00,25014,7.52,7.20,8.00,58.63
 ,Rust,"Chromium",667.30,133,131.80,64.00,25148,7.57,7.20,8.00,58.79
 ,Rust,"Chromium",667.30,131,130.94,64.00,25279,7.66,7.30,8.30,57.99
 ,Rust,"Chromium",667.30,132,130.88,64.00,25410,7.61,7.30,8.00,58.15
 ,Rust,"Chromium",667.30,131,130.36,64.00,25541,7.65,7.30,8.00,58.30
 ,Rust,"Chromium",667.30,130,129.87,64.00,25671,7.71,7.40,8.10,58.45
 ,Rust,"Chromium",667.30,130,129.55,64.00,25801,7.71,7.30,8.10,58.61
 ,Rust,"Chromium",667.30,130,128.96,64.00,25932,7.74,7.40,8.10,58.76
 ,Rust,"Chromium",667.30,129,128.38,64.00,26060,7.77,7.40,8.10,57.92
 ,Rust,"Chromium",667.30,128,127.40,64.00,26188,7.83,7.50,8.50,58.07
 ,Rust,"Chromium",667.30,128,126.39,64.00,26317,7.87,7.60,8.70,58.22
 ,Rust,"Chromium",667.30,127,126.97,64.00,26444,7.90,7.60,8.90,58.37
 ,Rust,"Chromium",667.30,127,125.78,64.00,26570,7.92,7.50,8.30,58.52
 ,Rust,"Chromium",667.30,126,124.78,64.00,26696,7.96,7.60,8.40,58.67
 ,Rust,"Chromium",667.30,125,124.88,64.00,26821,8.01,7.60,8.40,58.02
 ,Rust,"Chromium",667.30,125,124.44,64.00,26947,8.03,7.70,8.40,58.16
 ,Rust,"Chromium",667.30,124,123.77,64.00,27071,8.07,7.80,8.40,58.31
 ,Rust,"Chromium",667.30,124,123.52,64.00,27195,8.10,7.70,8.50,58.46
 ,Rust,"Chromium",667.30,123,122.86,64.00,27318,8.13,7.80,8.40,58.60
 ,Rust,"Chromium",667.30,123,122.49,64.00,27440,8.17,7.80,8.60,57.93
 ,Rust,"Chromium",667.30,123,121.78,64.00,27564,8.19,7.90,8.50,58.08
 ,Rust,"Chromium",667.30,121,120.48,64.00,27685,8.27,7.90,8.60,58.22
 ,Rust,"Chromium",667.30,120,121.61,64.00,27805,8.35,7.80,11.00,58.00
 ,Rust,"Chromium",667.30,120,116.71,64.00,27925,8.36,7.90,10.70,58.14
 ,Rust,"Chromium",667.30,119,118.12,64.00,28043,8.42,8.00,9.30,58.28
 ,Rust,"Chromium",667.30,118,117.11,64.00,28161,8.50,8.20,9.20,58.42
 ,Rust,"Chromium",667.30,119,118.81,64.00,28281,8.44,8.00,9.20,58.56
 ,Rust,"Chromium",667.30,119,117.90,64.00,28400,8.44,8.10,9.00,58.70
 ,Rust,"Chromium",667.30,118,117.75,64.00,28518,8.48,8.10,9.00,58.04
 ,Rust,"Chromium",667.30,118,117.46,64.00,28635,8.51,8.20,8.90,58.18
 ,Rust,"Chromium",667.30,114,113.59,64.00,28749,8.78,8.20,16.50,69.15
 ,Rust,"Chromium",667.30,114,112.87,64.00,28864,8.85,8.50,9.30,69.29
 ,Rust,"Chromium",667.30,113,112.63,64.00,28976,8.89,8.50,9.20,69.42
 ,Rust,"Chromium",667.30,113,112.05,64.00,29090,8.91,8.50,9.30,69.55
 ,Rust,"Chromium",667.30,112,111.67,64.00,29202,8.95,8.60,9.30,69.69
 ,Rust,"Chromium",667.30,112,111.59,64.00,29314,8.94,8.60,9.30,69.82
 ,Rust,"Chromium",667.30,111,110.74,64.00,29425,9.01,8.60,9.60,69.09
 ,Rust,"Chromium",667.30,111,110.50,64.00,29536,9.02,8.60,9.40,69.22
 ,Rust,"Chromium",667.30,111,109.96,64.00,29646,9.07,8.70,9.40,69.36
 ,Rust,"Chromium",667.30,110,109.61,64.00,29756,9.11,8.70,10.30,69.49
 ,Rust,"Chromium",667.30,110,109.42,64.00,29867,9.14,8.80,9.50,69.62
 ,Rust,"Chromium",667.30,110,109.68,64.00,29976,9.13,8.70,10.00,69.75
 ,Rust,"Chromium",667.30,110,109.37,64.00,30087,9.16,8.80,9.50,69.88
 ,Rust,"Chromium",667.30,109,107.82,64.00,30196,9.23,8.80,9.60,70.01
 ,Rust,"Chromium",667.30,108,107.62,64.00,30304,9.27,8.90,9.80,69.14
 ,Rust,"Chromium",667.30,108,107.24,64.00,30411,9.30,8.90,9.60,69.27
 ,Rust,"Chromium",667.30,107,106.73,64.00,30518,9.35,8.90,10.60,69.40
 ,Rust,"Chromium",667.30,107,107.04,64.00,30625,9.35,9.00,9.70,69.53
 ,Rust,"Chromium",667.30,107,105.54,64.00,30733,9.42,9.00,9.70,69.66
 ,Rust,"Chromium",667.30,107,105.87,64.00,30839,9.43,9.00,9.70,69.78
 ,Rust,"Chromium",667.30,106,105.28,64.00,30946,9.47,9.10,9.80,69.91
 ,Rust,"Chromium",667.30,106,105.51,64.00,31051,9.49,9.00,10.00,69.11
 ,Rust,"Chromium",667.30,106,105.20,64.00,31158,9.51,9.00,9.90,69.23
 ,Rust,"Chromium",667.30,105,104.26,64.00,31263,9.57,9.20,9.90,69.36
 ,Rust,"Chromium",667.30,105,104.54,64.00,31367,9.58,9.20,9.90,69.48
 ,Rust,"Chromium",667.30,105,103.68,64.00,31473,9.60,9.10,9.90,69.61
 ,Rust,"Chromium",667.30,105,104.61,64.00,31577,9.60,9.20,9.90,69.73
 ,Rust,"Chromium",667.30,104,103.89,64.00,31682,9.65,9.20,10.00,69.85
 ,Rust,"Chromium",667.30,104,103.22,64.00,31786,9.66,9.20,10.40,69.98
 ,Rust,"Chromium",667.30,103,102.56,64.00,31889,9.73,9.30,10.20,69.18
 ,Rust,"Chromium",667.30,103,103.19,64.00,31991,9.73,9.30,10.20,69.30
 ,Rust,"Chromium",667.30,103,102.77,64.00,32094,9.74,9.40,10.10,69.42
 ,Rust,"Chromium",667.30,103,102.62,64.00,32198,9.77,9.30,10.10,69.55
 ,Rust,"Chromium",667.30,102,101.34,64.00,32300,9.85,9.40,10.20,69.67
 ,Rust,"Chromium",667.30,102,100.77,64.00,32402,9.89,9.40,10.20,69.79
 ,Rust,"Chromium",667.30,101,100.87,64.00,32503,9.92,9.50,10.20,69.09
 ,Rust,"Chromium",667.30,101,100.13,64.00,32604,9.95,9.50,10.30,69.21
 ,Rust,"Chromium",667.30,101,100.41,64.00,32705,9.98,9.50,10.40,69.33
 ,Rust,"Chromium",667.30,98,96.93,64.00,32803,10.21,9.60,15.30,79.28
 ,Rust,"Chromium",667.30,100,99.16,64.00,32902,10.09,9.70,10.40,79.40
 ,Rust,"Chromium",667.30,99,99.02,64.00,33001,10.11,9.70,10.50,79.52
 ,Rust,"Chromium",667.30,99,98.83,64.00,33100,10.14,9.70,10.40,79.64
 ,Rust,"Chromium",667.30,98,98.22,64.00,33198,10.21,9.80,10.50,79.75
 ,Rust,"Chromium",667.30,98,97.76,64.00,33297,10.26,9.80,10.50,79.87
 ,Rust,"Chromium",667.30,98,97.71,64.00,33395,10.26,9.80,10.60,79.99
 ,Rust,"Chromium",667.30,97,96.80,64.00,33491,10.32,9.90,10.80,79.30
 ,Rust,"Chromium",667.30,98,96.73,64.00,33590,10.31,9.80,10.70,79.41
 ,Rust,"Chromium",667.30,97,97.08,64.00,33687,10.34,9.90,10.60,79.53
 ,Rust,"Chromium",667.30,97,96.50,64.00,33784,10.39,9.90,10.70,79.64
 ,Rust,"Chromium",667.30,97,96.11,64.00,33881,10.40,10.00,10.70,79.76
 ,Rust,"Chromium",667.30,96,95.46,64.00,33976,10.45,10.00,11.80,79.87
 ,Rust,"Chromium",667.30,96,95.77,64.00,34072,10.44,10.00,11.30,79.99
 ,Rust,"Chromium",667.30,96,95.01,64.00,34169,10.51,10.00,11.00,79.29
 ,Rust,"Chromium",667.30,96,95.57,64.00,34265,10.50,10.10,10.80,79.40
 ,Rust,"Chromium",667.30,96,94.90,64.00,34361,10.50,10.00,10.80,79.52
 ,Rust,"Chromium",667.30,95,94.60,64.00,34456,10.53,10.10,10.80,79.63
 ,Rust,"Chromium",667.30,95,94.47,64.00,34550,10.56,10.10,11.00,79.74
 ,Rust,"Chromium",667.30,94,93.82,64.00,34644,10.66,10.10,11.00,79.85
 ,Rust,"Chromium",667.30,94,93.57,64.00,34739,10.67,10.20,11.00,79.97
 ,Rust,"Chromium",667.30,94,93.67,64.00,34833,10.65,10.20,11.20,79.27
 ,Rust,"Chromium",667.30,94,93.19,64.00,34927,10.68,10.20,11.00,79.39
