,lang,browser,wasm_exec_ms,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb,click_latency_ms performanceMetrics.js:126:15
,Rust,"Firefox",1274.00,74.00,60,61.09,64.00,2249,16.67,15.00,18.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,60,60.20,64.00,2309,16.67,15.00,18.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,59.67,64.00,2370,16.66,15.00,18.00,,1.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,60,58.42,64.00,2430,16.67,8.00,24.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,60.56,64.00,2491,16.66,15.00,19.00,,1.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,60,60.50,64.00,2551,16.67,15.00,18.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,59.89,64.00,2612,16.66,15.00,18.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,60,59.47,64.00,2672,16.67,15.00,18.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,60.29,64.00,2733,16.66,13.00,18.00,,1.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,60,61.32,64.00,2793,16.68,13.00,19.00,,9.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,61.06,64.00,2854,16.66,14.00,19.00,,1.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,60.68,64.00,2915,16.66,14.00,19.00,,1.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,59.55,64.00,2976,16.66,14.00,19.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,61,60.26,64.00,3037,16.64,15.00,18.00,,1.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,60,60.29,64.00,3097,16.67,15.00,19.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,57.71,64.00,3155,17.26,15.00,19.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,57.97,64.00,3156,17.40,6.00,33.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,61.78,64.00,3156,17.34,6.00,33.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,57.77,64.00,3156,17.28,16.00,19.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,58.77,64.00,3156,17.24,7.00,32.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,61.52,64.00,3156,17.17,6.00,32.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,58.15,64.00,3156,17.22,6.00,33.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,58.61,64.00,3156,17.08,6.00,32.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,64.32,64.00,3156,17.10,5.00,33.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,57.53,64.00,3156,17.12,16.00,18.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,58.96,64.00,3156,17.12,6.00,32.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,58.06,64.00,3156,17.08,7.00,33.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,58.12,64.00,3156,17.14,5.00,33.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,58.86,64.00,3156,17.12,15.00,20.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,57.54,64.00,3156,17.14,5.00,33.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,58.05,64.00,3156,17.36,9.00,32.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,59,62.95,64.00,3156,17.17,6.00,32.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,55.78,64.00,3156,17.33,8.00,31.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,56,55.97,64.00,3156,18.16,17.00,19.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,58.64,64.00,3156,17.52,16.00,19.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,58,58.45,64.00,3156,17.52,7.00,36.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,57,55.73,64.00,3156,17.63,6.00,35.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,53,66.36,64.00,3156,19.06,8.00,55.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,49,57.29,64.00,3156,20.47,8.00,60.00,,0.00 performanceMetrics.js:132:13
,Rust,"Firefox",1274.00,74.00,54,57.02,64.00,3156,18.83,6.00,38.00,,0.00 performanceMetrics.js:132:13
