[Log] ,lang,browser,wasm_exec_ms,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb,click_latency_ms (performanceMetrics.js, line 126)
[Log] ,JS,"GnomeWeb",,,63,51.00,61.00,85240,16.03,15.00,17.00,,41.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,49,62.00,60.00,85260,20.80,19.00,43.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,50.00,61.00,85840,16.05,15.00,17.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,48,62.00,61.00,85860,21.23,20.00,23.00,,41.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,49.00,61.00,86430,16.16,15.00,18.00,,41.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,47,61.00,60.00,86450,21.64,21.00,24.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,60,48.00,61.00,87020,16.73,14.00,34.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,46,59.00,60.00,87040,22.00,21.00,24.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,60,47.00,61.00,87610,16.80,15.00,37.00,,42.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,46,59.00,61.00,87630,22.04,21.00,24.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,47.00,60.00,88200,17.05,15.00,40.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,60,58.00,61.00,88200,16.75,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,45,60.00,60.00,88220,22.38,20.00,43.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,46.00,61.00,88790,17.00,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,58.00,60.00,88790,17.19,15.00,39.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,59.00,61.00,88790,16.98,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,54,59.00,60.00,88790,18.52,16.00,53.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,55.00,60.00,88790,17.07,16.00,18.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,57,58.00,61.00,88790,17.79,16.00,33.00,,43.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,13,57.00,60.00,88790,84.62,16.00,316.00,,43.00 (performanceMetrics.js, line 132)
