 ,lang,browser,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
performanceMetrics.js:132 ,JS,"Chromium",,65,51.00,60.00,70880,15.58,14.10,26.20,82.06
performanceMetrics.js:132 ,JS,"Chromium",,49,64.00,61.00,70920,20.48,19.60,29.00,85.06
performanceMetrics.js:132 ,JS,"Chromium",,65,50.00,60.00,71460,15.44,14.10,16.90,97.16
performanceMetrics.js:132 ,JS,"Chromium",,49,65.00,61.00,71510,20.79,19.70,35.10,99.25
performanceMetrics.js:132 ,JS,"Chromium",,65,49.00,60.00,72060,15.61,14.30,17.00,75.32
performanceMetrics.js:132 ,JS,"Chromium",,49,64.00,61.00,72100,20.57,19.90,22.80,77.77
performanceMetrics.js:132 ,JS,"Chromium",,63,50.00,61.00,72650,16.01,14.60,26.60,103.63
performanceMetrics.js:132 ,JS,"Chromium",,48,62.00,60.00,72690,20.84,20.10,23.20,102.80
performanceMetrics.js:132 ,JS,"Chromium",,63,49.00,60.00,73230,15.89,14.50,17.40,103.73
performanceMetrics.js:132 ,JS,"Chromium",,48,63.00,61.00,73280,20.89,20.10,23.10,102.39
performanceMetrics.js:132 ,JS,"Chromium",,62,49.00,61.00,73820,16.17,15.50,27.60,84.40
performanceMetrics.js:132 ,JS,"Chromium",,48,62.00,61.00,73880,21.20,20.50,23.60,81.86
performanceMetrics.js:132 ,JS,"Chromium",,62,48.00,60.00,74410,16.20,14.80,17.70,78.99
performanceMetrics.js:132 ,JS,"Chromium",,47,61.00,60.00,74460,21.39,20.70,22.70,108.71
performanceMetrics.js:132 ,JS,"Chromium",,61,48.00,61.00,75000,16.40,15.90,17.70,99.52
performanceMetrics.js:132 ,JS,"Chromium",,47,61.00,61.00,75060,21.51,20.80,22.70,91.77
performanceMetrics.js:132 ,JS,"Chromium",,61,47.00,60.00,75580,16.48,15.00,28.90,81.71
performanceMetrics.js:132 ,JS,"Chromium",,47,61.00,61.00,75650,21.45,20.70,22.60,111.73
performanceMetrics.js:132 ,JS,"Chromium",,61,48.00,61.00,76170,16.40,15.00,18.20,102.24
performanceMetrics.js:132 ,JS,"Chromium",,44,61.00,60.00,76240,22.76,20.90,41.60,83.57
performanceMetrics.js:132 ,JS,"Chromium",,59,45.00,60.00,76740,17.09,16.60,18.60,105.22
performanceMetrics.js:132 ,JS,"Chromium",,59,59.00,61.00,76740,17.08,16.50,18.80,84.49
performanceMetrics.js:132 ,JS,"Chromium",,59,59.00,60.00,76740,17.04,16.50,18.70,106.50
performanceMetrics.js:132 ,JS,"Chromium",,59,59.00,61.00,76740,17.04,16.50,18.70,128.52
performanceMetrics.js:132 ,JS,"Chromium",,59,59.00,60.00,76740,17.03,16.50,18.90,107.80
performanceMetrics.js:132 ,JS,"Chromium",,59,59.00,60.00,76740,17.21,16.60,24.30,130.11
performanceMetrics.js:132 ,JS,"Chromium",,59,59.00,61.00,76760,17.22,16.60,20.20,109.12
performanceMetrics.js:132 ,JS,"Chromium",,51,61.00,61.00,76760,19.83,17.10,41.70,125.85
performanceMetrics.js:132 ,JS,"Chromium",,57,61.00,61.00,76760,17.71,16.70,20.60,135.50
performanceMetrics.js:132 ,JS,"Chromium",,56,61.00,61.00,76760,17.93,16.90,22.10,138.99
performanceMetrics.js:132 ,JS,"Chromium",,52,61.00,61.00,76760,19.44,16.90,36.50,84.87
