 ,lang,browser,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,Rust,"Chromium",15.40,114,113.50,64.00,17976,8.78,8.20,9.30,79.29
 ,Rust,"Chromium",15.40,114,113.23,64.00,18090,8.81,8.30,9.30,79.43
 ,Rust,"Chromium",15.40,113,111.63,64.00,18202,8.90,8.30,9.50,78.77
 ,Rust,"Chromium",15.40,112,112.00,64.00,18315,8.96,8.40,9.40,78.91
 ,Rust,"Chromium",15.40,111,111.38,64.00,18426,9.01,8.40,9.60,79.04
 ,Rust,"Chromium",15.40,110,109.67,64.00,18536,9.10,8.50,9.60,79.18
 ,Rust,"Chromium",15.40,110,109.78,64.00,18646,9.09,8.50,9.60,79.31
 ,Rust,"Chromium",15.40,110,108.71,64.00,18756,9.14,8.50,9.60,79.45
 ,Rust,"Chromium",15.40,109,108.34,64.00,18865,9.26,8.60,9.80,78.78
 ,Rust,"Chromium",15.40,108,107.40,64.00,18973,9.30,8.70,9.80,78.91
 ,Rust,"Chromium",15.40,107,106.88,64.00,19080,9.35,8.70,9.90,79.04
 ,Rust,"Chromium",15.40,107,106.34,64.00,19186,9.37,8.80,9.90,79.18
 ,Rust,"Chromium",15.40,107,106.83,64.00,19294,9.42,8.80,9.90,79.31
 ,Rust,"Chromium",15.40,106,105.72,64.00,19400,9.44,8.80,9.90,79.44
 ,Rust,"Chromium",15.40,106,105.26,64.00,19505,9.51,8.90,10.10,78.77
 ,Rust,"Chromium",15.40,105,105.14,64.00,19610,9.54,8.90,10.10,78.90
 ,Rust,"Chromium",15.40,105,103.83,64.00,19716,9.60,9.00,10.10,79.02
 ,Rust,"Chromium",15.40,104,103.22,64.00,19820,9.66,9.00,10.10,79.15
 ,Rust,"Chromium",15.40,103,102.04,64.00,19922,9.76,9.10,12.20,86.03
 ,Rust,"Chromium",15.40,103,102.30,64.00,20026,9.78,9.10,10.30,85.44
 ,Rust,"Chromium",15.40,101,101.30,64.00,20127,9.90,9.20,17.50,85.57
 ,Rust,"Chromium",15.40,102,101.89,64.00,20228,9.85,9.20,10.40,85.69
 ,Rust,"Chromium",15.40,102,102.16,64.00,20331,9.88,9.20,10.30,85.82
 ,Rust,"Chromium",15.40,102,100.89,64.00,20432,9.89,9.30,10.40,85.94
 ,Rust,"Chromium",15.40,100,100.56,64.00,20532,10.00,9.30,10.50,86.07
 ,Rust,"Chromium",15.40,101,99.74,64.00,20634,9.99,9.30,10.60,86.19
 ,Rust,"Chromium",15.40,100,97.52,64.00,20733,10.08,9.30,11.90,85.52
 ,Rust,"Chromium",15.40,99,97.91,64.00,20833,10.20,9.40,10.70,85.64
 ,Rust,"Chromium",15.40,98,97.50,64.00,20930,10.27,9.50,12.20,85.76
 ,Rust,"Chromium",15.40,99,97.82,64.00,21030,10.16,9.40,10.70,85.88
 ,Rust,"Chromium",15.40,98,97.70,64.00,21127,10.27,9.60,10.80,86.00
 ,Rust,"Chromium",15.40,98,97.11,64.00,21226,10.31,9.60,10.80,86.12
 ,Rust,"Chromium",15.40,97,96.85,64.00,21322,10.37,9.60,10.90,86.24
 ,Rust,"Chromium",15.40,96,96.15,64.00,21418,10.42,9.60,10.90,85.56
 ,Rust,"Chromium",15.40,96,95.44,64.00,21515,10.47,9.70,11.00,85.68
 ,Rust,"Chromium",15.40,95,95.03,64.00,21610,10.55,9.80,11.00,85.79
 ,Rust,"Chromium",15.40,95,94.93,64.00,21704,10.59,9.90,11.10,85.91
 ,Rust,"Chromium",15.40,95,94.74,64.00,21800,10.60,9.80,11.10,86.02
 ,Rust,"Chromium",15.40,95,94.23,64.00,21895,10.59,9.90,11.10,86.14
 ,Rust,"Chromium",15.40,94,93.07,64.00,21988,10.68,9.80,11.40,85.46
 ,Rust,"Chromium",15.40,93,92.99,64.00,22081,10.78,10.10,11.30,85.57
 ,Rust,"Chromium",15.40,93,91.94,64.00,22175,10.83,10.10,11.40,85.69
 ,Rust,"Chromium",15.40,92,91.53,64.00,22267,10.87,10.10,11.40,85.80
 ,Rust,"Chromium",15.40,92,91.82,64.00,22358,10.92,10.10,11.40,85.91
 ,Rust,"Chromium",15.40,92,91.45,64.00,22451,10.96,10.10,11.40,86.02
 ,Rust,"Chromium",15.40,91,90.52,64.00,22541,11.09,10.20,12.10,86.14
 ,Rust,"Chromium",15.40,90,90.42,64.00,22631,11.12,10.30,12.10,86.25
 ,Rust,"Chromium",15.40,91,90.37,64.00,22723,11.08,10.30,11.60,85.56
 ,Rust,"Chromium",15.40,91,90.03,64.00,22814,11.09,10.20,11.50,85.67
 ,Rust,"Chromium",15.40,90,90.21,64.00,22904,11.15,10.40,12.20,85.78
 ,Rust,"Chromium",15.40,90,89.19,64.00,22994,11.16,10.40,11.60,85.89
 ,Rust,"Chromium",15.40,90,89.29,64.00,23084,11.21,10.30,11.70,86.00
 ,Rust,"Chromium",15.40,90,88.57,64.00,23174,11.20,10.30,11.60,86.11
 ,Rust,"Chromium",15.40,89,88.48,64.00,23263,11.35,10.50,12.00,86.22
 ,Rust,"Chromium",15.40,88,88.10,64.00,23351,11.38,10.50,11.80,85.53
 ,Rust,"Chromium",15.40,88,87.23,64.00,23439,11.39,10.60,11.90,85.64
 ,Rust,"Chromium",15.40,88,87.70,64.00,23526,11.43,10.60,11.80,85.75
 ,Rust,"Chromium",15.40,88,86.87,64.00,23615,11.47,10.60,12.00,85.86
 ,Rust,"Chromium",15.40,87,86.80,64.00,23702,11.51,10.70,12.00,85.96
 ,Rust,"Chromium",15.40,88,86.81,64.00,23790,11.48,10.60,12.20,86.07
 ,Rust,"Chromium",15.40,87,86.34,64.00,23877,11.56,10.70,12.00,88.05
 ,Rust,"Chromium",15.40,86,85.86,64.00,23963,11.74,10.70,19.90,87.43
 ,Rust,"Chromium",15.40,86,84.95,64.00,24049,11.70,10.90,12.10,87.53
 ,Rust,"Chromium",15.40,86,85.54,64.00,24135,11.71,10.90,12.10,87.64
 ,Rust,"Chromium",15.40,86,84.80,64.00,24221,11.75,10.90,12.20,87.74
 ,Rust,"Chromium",15.40,85,84.64,64.00,24305,11.79,10.90,12.20,87.85
 ,Rust,"Chromium",15.40,85,85.02,64.00,24391,11.83,10.90,12.20,87.95
 ,Rust,"Chromium",15.40,85,85.27,64.00,24476,11.79,11.00,12.20,88.06
 ,Rust,"Chromium",15.40,85,84.07,64.00,24560,11.88,11.00,12.50,87.36
 ,Rust,"Chromium",15.40,84,83.86,64.00,24645,11.94,11.00,12.50,87.47
 ,Rust,"Chromium",15.40,84,83.05,64.00,24729,11.99,11.20,12.40,87.57
 ,Rust,"Chromium",15.40,84,83.82,64.00,24813,12.00,11.10,12.40,87.67
 ,Rust,"Chromium",15.40,84,83.28,64.00,24896,12.02,11.10,12.40,87.78
 ,Rust,"Chromium",15.40,83,82.87,64.00,24979,12.06,11.20,12.50,87.88
 ,Rust,"Chromium",15.40,83,82.32,64.00,25063,12.16,11.20,12.50,87.98
 ,Rust,"Chromium",15.40,82,82.14,64.00,25145,12.22,11.30,12.60,88.08
 ,Rust,"Chromium",15.40,82,81.60,64.00,25226,12.27,11.30,12.90,87.38
 ,Rust,"Chromium",15.40,82,80.83,64.00,25309,12.32,11.40,12.70,87.48
 ,Rust,"Chromium",15.40,81,80.64,64.00,25390,12.37,11.50,12.80,87.58
 ,Rust,"Chromium",15.40,81,80.35,64.00,25470,12.38,11.40,13.70,87.68
 ,Rust,"Chromium",15.40,81,80.69,64.00,25552,12.47,11.60,13.30,87.78
 ,Rust,"Chromium",15.40,81,80.28,64.00,25633,12.45,11.50,13.10,87.88
 ,Rust,"Chromium",15.40,81,79.98,64.00,25714,12.47,11.50,12.90,87.98
